"PA","SZ"
"Ang Mo Kio","Ang Mo Kio Town Centre"
"Ang Mo Kio","Cheng San"
"Ang Mo Kio","Chong Boon"
"Ang Mo Kio","Kebun Bahru"
"Ang Mo Kio","Sembawang Hills"
"Ang Mo Kio","Shangri-La"
"Ang Mo Kio","Tagore"
"Ang Mo Kio","Townsville"
"Ang Mo Kio","Yio Chu Kang"
"Ang Mo Kio","Yio Chu Kang East"
"Ang Mo Kio","Yio Chu Kang North"
"Ang Mo Kio","Yio Chu Kang West"
"Bedok","Bayshore"
"Bedok","Bedok North"
"Bedok","Bedok Reservoir"
"Bedok","Bedok South"
"Bedok","Frankel"
"Bedok","Kaki Bukit"
"Bedok","Kembangan"
"Bedok","Siglap"
"Bishan","Bishan East"
"Bishan","Marymount"
"Bishan","Upper Thomson"
"Boon Lay","Liu Fang"
"Boon Lay","Samulun"
"Boon Lay","Shipyard"
"Boon Lay","Tukang"
"Bukit Batok","Brickworks"
"Bukit Batok","Bukit Batok Central"
"Bukit Batok","Bukit Batok East"
"Bukit Batok","Bukit Batok South"
"Bukit Batok","Bukit Batok West"
"Bukit Batok","Gombak"
"Bukit Batok","Guilin"
"Bukit Batok","Hillview"
"Bukit Batok","Hong Kah North"
"Bukit Merah","Alexandra Hill"
"Bukit Merah","Alexandra North"
"Bukit Merah","Bukit Ho Swee"
"Bukit Merah","Bukit Merah"
"Bukit Merah","City Terminals"
"Bukit Merah","Depot Road"
"Bukit Merah","Everton Park"
"Bukit Merah","Henderson Hill"
"Bukit Merah","Kampong Tiong Bahru"
"Bukit Merah","Maritime Square"
"Bukit Merah","Redhill"
"Bukit Merah","Singapore General Hospital"
"Bukit Merah","Telok Blangah Drive"
"Bukit Merah","Telok Blangah Rise"
"Bukit Merah","Telok Blangah Way"
"Bukit Merah","Tiong Bahru"
"Bukit Merah","Tiong Bahru Station"
"Bukit Panjang","Bangkit"
"Bukit Panjang","Dairy Farm"
"Bukit Panjang","Fajar"
"Bukit Panjang","Jelebu"
"Bukit Panjang","Nature Reserve"
"Bukit Panjang","Saujana"
"Bukit Panjang","Senja"
"Bukit Timah","Anak Bukit"
"Bukit Timah","Coronation Road"
"Bukit Timah","Farrer Court"
"Bukit Timah","Hillcrest"
"Bukit Timah","Holland Road"
"Bukit Timah","Leedon Park"
"Bukit Timah","Swiss Club"
"Bukit Timah","Ulu Pandan"
"Central Water Catchment","Central Water Catchment"
"Changi","Changi Airport"
"Changi","Changi Point"
"Changi","Changi West"
"Changi Bay","Changi Bay"
"Choa Chu Kang","Choa Chu Kang Central"
"Choa Chu Kang","Choa Chu Kang North"
"Choa Chu Kang","Keat Hong"
"Choa Chu Kang","Peng Siang"
"Choa Chu Kang","Teck Whye"
"Choa Chu Kang","Yew Tee"
"Clementi","Clementi Central"
"Clementi","Clementi North"
"Clementi","Clementi West"
"Clementi","Clementi Woods"
"Clementi","Faber"
"Clementi","Pandan"
"Clementi","Sunset Way"
"Clementi","Toh Tuck"
"Clementi","West Coast"
"Downtown Core","Anson"
"Downtown Core","Bayfront Subzone"
"Downtown Core","Bugis"
"Downtown Core","Cecil"
"Downtown Core","Central Subzone"
"Downtown Core","City Hall"
"Downtown Core","Clifford Pier"
"Downtown Core","Marina Centre"
"Downtown Core","Maxwell"
"Downtown Core","Phillip"
"Downtown Core","Raffles Place"
"Downtown Core","Tanjong Pagar"
"Geylang","Aljunied"
"Geylang","Geylang East"
"Geylang","Kallang Way"
"Geylang","Kampong Ubi"
"Geylang","Macpherson"
"Hougang","Defu Industrial Park"
"Hougang","Hougang Central"
"Hougang","Hougang East"
"Hougang","Hougang West"
"Hougang","Kangkar"
"Hougang","Kovan"
"Hougang","Lorong Ah Soo"
"Hougang","Lorong Halus"
"Hougang","Tai Seng"
"Hougang","Trafalgar"
"Jurong East","International Business Park"
"Jurong East","Jurong Gateway"
"Jurong East","Jurong Port"
"Jurong East","Jurong River"
"Jurong East","Lakeside"
"Jurong East","Penjuru Crescent"
"Jurong East","Teban Gardens"
"Jurong East","Toh Guan"
"Jurong East","Yuhua East"
"Jurong East","Yuhua West"
"Jurong West","Boon Lay Place"
"Jurong West","Chin Bee"
"Jurong West","Hong Kah"
"Jurong West","Jurong West Central"
"Jurong West","Kian Teck"
"Jurong West","Safti"
"Jurong West","Taman Jurong"
"Jurong West","Wenya"
"Jurong West","Yunnan"
"Kallang","Bendemeer"
"Kallang","Boon Keng"
"Kallang","Crawford"
"Kallang","Geylang Bahru"
"Kallang","Kallang Bahru"
"Kallang","Kampong Bugis"
"Kallang","Kampong Java"
"Kallang","Lavender"
"Kallang","Tanjong Rhu"
"Lim Chu Kang","Lim Chu Kang"
"Mandai","Mandai East"
"Mandai","Mandai Estate"
"Mandai","Mandai West"
"Marina East","Marina East"
"Marina South","Marina South"
"Marine Parade","East Coast"
"Marine Parade","Katong"
"Marine Parade","Marina East (Mp)"
"Marine Parade","Marine Parade"
"Marine Parade","Mountbatten"
"Museum","Bras Basah"
"Museum","Dhoby Ghaut"
"Museum","Fort Canning"
"Newton","Cairnhill"
"Newton","Goodwood Park"
"Newton","Istana Negara"
"Newton","Monk's Hill"
"Newton","Newton Circus"
"Newton","Orange Grove"
"North-Eastern Islands","North-Eastern Islands"
"Novena","Balestier"
"Novena","Dunearn"
"Novena","Malcolm"
"Novena","Moulmein"
"Novena","Mount Pleasant"
"Orchard","Boulevard"
"Orchard","Somerset"
"Orchard","Tanglin"
"Outram","China Square"
"Outram","Chinatown"
"Outram","Pearl's Hill"
"Outram","People's Park"
"Pasir Ris","Flora Drive"
"Pasir Ris","Loyang East"
"Pasir Ris","Loyang West"
"Pasir Ris","Pasir Ris Central"
"Pasir Ris","Pasir Ris Drive"
"Pasir Ris","Pasir Ris Park"
"Pasir Ris","Pasir Ris Wafer Fab Park"
"Pasir Ris","Pasir Ris West"
"Paya Lebar","Airport Road"
"Paya Lebar","Paya Lebar East"
"Paya Lebar","Paya Lebar North"
"Paya Lebar","Paya Lebar West"
"Paya Lebar","Plab"
"Pioneer","Benoi Sector"
"Pioneer","Gul Basin"
"Pioneer","Gul Circle"
"Pioneer","Joo Koon"
"Pioneer","Pioneer Sector"
"Punggol","Coney Island"
"Punggol","Matilda"
"Punggol","Northshore"
"Punggol","Punggol Canal"
"Punggol","Punggol Field"
"Punggol","Punggol Town Centre"
"Punggol","Waterway East"
"Queenstown","Commonwealth"
"Queenstown","Dover"
"Queenstown","Ghim Moh"
"Queenstown","Holland Drive"
"Queenstown","Kent Ridge"
"Queenstown","Margaret Drive"
"Queenstown","Mei Chin"
"Queenstown","National University Of S'pore"
"Queenstown","One North"
"Queenstown","Pasir Panjang 1"
"Queenstown","Pasir Panjang 2"
"Queenstown","Port"
"Queenstown","Queensway"
"Queenstown","Singapore Polytechnic"
"Queenstown","Tanglin Halt"
"River Valley","Institution Hill"
"River Valley","Leonie Hill"
"River Valley","One Tree Hill"
"River Valley","Oxley"
"River Valley","Paterson"
"Rochor","Bencoolen"
"Rochor","Farrer Park"
"Rochor","Kampong Glam"
"Rochor","Little India"
"Rochor","Mackenzie"
"Rochor","Mount Emily"
"Rochor","Rochor Canal"
"Rochor","Selegie"
"Rochor","Sungei Road"
"Rochor","Victoria"
"Seletar","Pulau Punggol Barat"
"Seletar","Pulau Punggol Timor"
"Seletar","Seletar"
"Seletar","Seletar Aerospace Park"
"Sembawang","Admiralty"
"Sembawang","Sembawang Central"
"Sembawang","Sembawang East"
"Sembawang","Sembawang North"
"Sembawang","Sembawang Springs"
"Sembawang","Sembawang Straits"
"Sembawang","Senoko North"
"Sembawang","Senoko South"
"Sembawang","The Wharves"
"Sengkang","Anchorvale"
"Sengkang","Compassvale"
"Sengkang","Fernvale"
"Sengkang","Lorong Halus North"
"Sengkang","Rivervale"
"Sengkang","Sengkang Town Centre"
"Sengkang","Sengkang West"
"Serangoon","Lorong Chuan"
"Serangoon","Seletar Hills"
"Serangoon","Serangoon Central"
"Serangoon","Serangoon Garden"
"Serangoon","Serangoon North"
"Serangoon","Serangoon North Ind Estate"
"Serangoon","Upper Paya Lebar"
"Simpang","Pulau Seletar"
"Simpang","Simpang North"
"Simpang","Simpang South"
"Simpang","Tanjong Irau"
"Singapore River","Boat Quay"
"Singapore River","Clarke Quay"
"Singapore River","Robertson Quay"
"Southern Islands","Sentosa"
"Southern Islands","Southern Group"
"Straits View","Straits View"
"Sungei Kadut","Gali Batu"
"Sungei Kadut","Kranji"
"Sungei Kadut","Pang Sua"
"Sungei Kadut","Reservoir View"
"Sungei Kadut","Turf Club"
"Tampines","Simei"
"Tampines","Tampines East"
"Tampines","Tampines North"
"Tampines","Tampines West"
"Tampines","Xilin"
"Tanglin","Chatsworth"
"Tanglin","Nassim"
"Tanglin","Ridout"
"Tanglin","Tyersall"
"Tengah","Tengah"
"Toa Payoh","Bidadari"
"Toa Payoh","Boon Teck"
"Toa Payoh","Braddell"
"Toa Payoh","Joo Seng"
"Toa Payoh","Kim Keat"
"Toa Payoh","Lorong 8 Toa Payoh"
"Toa Payoh","Pei Chun"
"Toa Payoh","Potong Pasir"
"Toa Payoh","Sennett"
"Toa Payoh","Toa Payoh Central"
"Toa Payoh","Toa Payoh West"
"Toa Payoh","Woodleigh"
"Tuas","Tengeh"
"Tuas","Tuas Bay"
"Tuas","Tuas North"
"Tuas","Tuas Promenade"
"Tuas","Tuas View"
"Tuas","Tuas View Extension"
"Western Islands","Jurong Island And Bukom"
"Western Islands","Semakau"
"Western Islands","Sudong"
"Western Water Catchment","Western Water Catchment"
"Woodlands","Greenwood Park"
"Woodlands","Midview"
"Woodlands","North Coast"
"Woodlands","Senoko West"
"Woodlands","Woodgrove"
"Woodlands","Woodlands East"
"Woodlands","Woodlands Regional Centre"
"Woodlands","Woodlands South"
"Woodlands","Woodlands West"
"Yishun","Khatib"
"Yishun","Lower Seletar"
"Yishun","Nee Soon"
"Yishun","Northland"
"Yishun","Springleaf"
"Yishun","Yishun Central"
"Yishun","Yishun East"
"Yishun","Yishun South"
"Yishun","Yishun West"
